ProductKey,ProductCategory,ProductSubcategory,ProductName
1,Computers,Desktops,Desktop PC2.58
2,Computers,Desktops,Desktop PC2.56
3,Cell phones,Touch Screen Phones ,Touch Screen Phone 1645
4,Computers,Monitors,Proseware LCD28M X301
5,Computers,Laptops,Fabrikam Laptop31
6,Computers,Laptops,Fabrikam Laptop33
7,Computers,Desktops,Desktop PC2.67
8,Computers,Monitors,Proseware LCD24M X307
9,Cell phones,Home & Office Phones,Single-line  E18
10,Audio,Recording Pen,Pulse Smart Pen E52
11,Cell phones,Cell phones Accessories,Skin BlackBerry E96 Silver
12,Cell phones,Touch Screen Phones ,Touch Screen Phone 1632
13,Computers,Monitors,Proseware LCD22M X303
14,Audio,Recording Pen,Pulse Smart Pen E51
15,Cell phones,Cell phones Accessories,Skin BlackBerry E90 Black
16,Audio,Recording Pen,Pulse Smart Pen E56
17,Cell phones,Smart phones & PDAs ,Smart Phone E170
18,Audio,MP4&MP3,MP3 Player E54
19,Computers,Desktops,Desktop PC2.57
20,Audio,Recording Pen,Pulse Smart Pen E54
21,Audio,Recording Pen,Pulse Smart Pen E55
22,Cell phones,Smart phones & PDAs ,Smart Phone E150
23,Cell phones,Home & Office Phones,Multi-line  E11
24,Audio,MP4&MP3,MP3 Player E52
25,Cell phones,Smart phones & PDAs ,Smart Phone E158
26,Audio,MP4&MP3,MP3 Player E53
27,Cell phones,Cell phones Accessories,Skin BlackBerry E84 Black
28,Cell phones,Smart phones & PDAs ,Smart Phone E163
29,Computers,Laptops,Fabrikam Laptop45
30,Computers,Desktops,Desktop PC2.74
31,Cell phones,Touch Screen Phones ,Touch Screen Phone 1636
32,Cell phones,Cell phones Accessories,Skin BlackBerry E52 Black
33,Computers,Desktops,Desktop PC2.52
34,Cell phones,Cell phones Accessories,Skin BlackBerry E82 Black
35,Cell phones,Home & Office Phones,Multi-line  E18
36,Cell phones,Touch Screen Phones ,Touch Screen Phone 1622
37,Cell phones,Smart phones & PDAs ,Smart Phone E166
38,Computers,Laptops,Fabrikam Laptop47
39,Computers,Laptops,Fabrikam Laptop43
40,Audio,MP4&MP3,MP3 Player E51
41,Computers,Monitors,Proseware LCD27M X307
42,Cell phones,Touch Screen Phones ,Touch Screen Phone 1634
43,Audio,MP4&MP3,MP3 Player E55
44,Audio,Recording Pen,Pulse Smart Pen E53
45,Computers,Monitors,Proseware LCD30M X305
46,Computers,Laptops,Fabrikam Laptop37
47,Cell phones,Smart phones & PDAs ,Smart Phone E174
48,Cell phones,Home & Office Phones,Single-line  E14
49,Cell phones,Touch Screen Phones ,Touch Screen Phone 1640
50,Audio,MP4&MP3,MP3 Player E56
